"","2.5 %","97.5 %"
"slopes",0.124336403951452,0.133611024288317
"east",0.0610604407728816,0.0664800026155952
"north",0.0627328991945369,0.0688204680555389
"dems",-0.2792211093682,-0.272495631828555
"tpicatgentle",-3.935618001208,-3.85126112792087
"tpicatridge",-2.08951007670746,-2.01922404560571
"tpicatsteep",-2.41815194099397,-2.34937678971933
"tpicatvalley",-1.99119442294311,-1.92087523805253
"tricatlow",-0.0804256288440527,-0.00598901195830114
"tricatmoder",-0.137627218469053,-0.0673034197169295
"tricatslight",0.223058447749797,0.290897350486414
"tricatsmooth",0.774292256516183,0.844392486985504
"nlcdcatbare",1.32031353204576,1.36457438610313
"nlcdcatdevel",-0.222980527643652,-0.211408060966512
"nlcdcatforest",-0.639111803456475,-0.628496725865787
"nlcdcatgrass",-0.269990180043556,-0.240365576644714
"nlcdcatshrub",-0.569195091225713,-0.536466738283764
"nlcdcatwater",-1.59088511271537,-1.54185345390612
"nlcdcatwetland",-0.605374023125848,-0.58832622374558
"dprds",-0.215428763239044,-0.209819488298743
"dsrds",-0.282450975794779,-0.275987284277906
"dsolids",-0.394932244158339,-0.389520905095473
